WeaponID,name,variety,rarity,baseProperty1,baseProperty2,intro,skillname,obtain,tag,LABEL
w0,岩峰巡歌,单手剑,★★★★★,攻击力 44-542,防御力% 18.0%-82.7%,N/A,不凋的盛年,限定祈愿,防御力、伤害加成、层数叠加,Weapon
w1,猎人之径,弓,★★★★★,攻击力 44-542,暴击率 9.6%-44.1%,N/A,兽径的终点,限定祈愿,元素伤害、重击、技能倍率,Weapon
w2,柔灯挽歌,长柄武器,★★★★★,攻击力 46-608,暴击率 7.2%-33.1%,装饰着苍水晶的华美长枪，据说曾是某位传奇决斗代理人终生珍藏却从未使用过的武器。,白晓的序曲,限定祈愿,能量回复、伤害加成、攻击力,Weapon
w3,山王长牙,双手剑,★★★★★,攻击力 49-741,暴击率 2.4%-11.0%,由纯然的绿松石锻造而成的巨剑，因其远超一般兵刃的重量而被冠以「山王」康加玛托之名。,绿松石之狩,限定祈愿,层数叠加、元素战技、元素爆发、伤害加成、元素反应,Weapon
w4,赤沙之杖,长柄武器,★★★★★,攻击力 44-542,暴击率 9.6%-44.1%,黑曜石塑造的一对的权杖中的一件。在传说中，具有引领沙之民的权威，但如今已经没有能辨别出这件王器形象的臣子了。,蜃气尽头的热梦,限定祈愿,攻击力、层数叠加,Weapon
w5,白雨心弦,弓,★★★★★,攻击力 44-542,生命值 14.4%-66.2%,N/A,德吕阿的夜曲,限定祈愿,生命值、层数叠加、暴击率,Weapon
w6,冲浪时光,法器,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,原本预订发放给「第一届全部族冲浪竞速锦标赛」冠军的纪念品。鉴于赛事目前尚处于筹备阶段，奖品便被临时寄存在了「悠游豚豚」内，由店主代为保管。,水色回忆,限定祈愿,生命值、普通攻击、层数叠加、伤害加成,Weapon
w7,赦罪,单手剑,★★★★★,攻击力 48-674,暴击伤害 9.6%-44.1%,曾经弃绝一切的骗徒使用过的刺剑，过去主要是他伪装身份活动时用的道具。,死之契,限定祈愿,暴击伤害、伤害加成、层数叠加,Weapon
w8,圣显之钥,单手剑,★★★★★,攻击力 44-542,生命值 14.4%-66.2%,黑曜石塑造的一对的权杖中的一件。在传说中，隐藏在沙海尽头的乐园门扉是由这柄密钥开启的。,沉入沙海的史诗,限定祈愿,生命值、元素精通、群体辅助,Weapon
w9,千夜浮梦,法器,★★★★★,攻击力 44-542,元素精通 58-265,浮映千夜之梦的灯盏，苍翠的光中流溢着遥世的歌。,千夜的曙歌,限定祈愿,元素精通、元素伤害、效果叠加、群体辅助、对象限制,Weapon
w10,图莱杜拉的回忆,法器,★★★★★,攻击力 48-674,暴击伤害 9.6%-44.1%,深蓝宝石与纯银雕成的铃铛，回响之声清脆悠远。,堙没的蓝宝石泪滴,限定祈愿,攻击速度、普通攻击、伤害加成,Weapon
w11,苇海信标,双手剑,★★★★★,攻击力 46-608,暴击率 7.2%-33.1%,造型古旧的平头大剑，似乎曾是王器与某种仪式用的武器。,沙海守望,限定祈愿,攻击力、生命值、自身限制,Weapon
w12,最初的大魔术,弓,★★★★★,攻击力 46-608,暴击伤害 14.4%-66.2%,过去的「大魔术师」曾经使用的表演道具，最终揭露的秘密是它其实也是不俗的武器。,伟大者帕西法尔,限定祈愿,攻击力、重击、移动速度、队伍限制,Weapon
w13,裁叶萃光,单手剑,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,N/A,白月枝芒,限定祈愿,暴击率、技能倍率、普通攻击、元素战技,Weapon
w14,碧落之珑,法器,★★★★★,攻击力 46-608,生命值 10.8％-49.6％,由碧色美玉雕成的礼器，放射着天空与碧水的光泽。,定土玉圭,限定祈愿,能量回复、伤害加成,Weapon
w15,钺矛,长柄武器,★★★,攻击力 40-448,攻击力% 5.1%-23.5%,在矛上增加斧刃的兵器，有不俗的破坏力。是千岩军军官青睐的武器。,沉重,宝箱,额外伤害,Weapon
w16,黑缨枪,长柄武器,★★★,攻击力 38-354,生命值 10.2%-46.9%,解决了白缨容易弄脏问题的绝世好枪。,克柔,祈愿、与NPC乌尔班对话获得,对象限制、伤害加成,Weapon
w17,白缨枪,长柄武器,★★★,攻击力 39-401,暴击率 5.1%-23.4%,N/A,锐利,宝箱、（璃月区域宝箱）,普通攻击,Weapon
w18,异世界行记,法器,★★★,攻击力 39-401,元素充能效率 8.5%-39.0%,廉价的幻想小说，不具备参考价值。作为法器的力量当然也来自幻想。,能量沐浴,宝箱、（蒙德区域宝箱）,生命恢复,Weapon
w19,甲级宝珏,法器,★★★,攻击力 40-448,暴击率 3.4%-15.6%,两块玉石拼成的精致玉佩。,奔袭战术,宝箱、（璃月区域宝箱）,攻击力、移动速度,Weapon
w20,讨龙英杰谭,法器,★★★,攻击力 39-401,生命值 7.7%-35.2%,五名英雄踏上屠龙征途的虚构故事。文笔很差，结构散乱。失败的教训是这本书所拥有的伟大力量。,传承,祈愿,攻击力、单人辅助,Weapon
w21,魔导绪论,法器,★★★,攻击力 38-354,元素精通 41-187,第十二版。结合时代发展加注了新内容，并修订了第十一版的错别字。,止水息雷,祈愿,水、雷、伤害加成,Weapon
w22,反曲弓,弓,★★★,攻击力 38-354,生命值 10.2%-46.9%,据说能射下苍鹰的猎弓，但能不能做到主要还得看弓手的技术。,收割,宝箱、对话、与稻妻离岛港口中野对话、与须弥化城郭池边的希琳对话,生命回复、对象限制,Weapon
w23,翡玉法球,法器,★★★,攻击力 40-448,元素精通 20-94,由璃月北郊绝云间出产的硬玉雕琢而成的法器。小巧轻盈，经久耐用，江湖人称「翡玉丸」。,激流,祈愿,元素反应、攻击力、水,Weapon
w24,信使,弓,★★★,攻击力 40-448,暴击伤害 6.8%-31.2%,造型简单的木制弓。传说它曾被人用作远程通讯的道具。,飞矢传书,宝箱、（璃月区域宝箱）,对象限制、额外伤害,Weapon
w25,神射手之誓,弓,★★★,攻击力 39-401,暴击伤害 10.2%-46.9%,据说曾属于技艺高强的射手，是一把上好的弓。因为散发出强烈的气息，难以用于狩猎。,精准,祈愿,对象限制、伤害加成,Weapon
w26,弹弓,弓,★★★,攻击力 38-354,暴击率 6.8%-31.2%,N/A,弹弓,祈愿,伤害加成、负面效果,Weapon
w27,鸦羽弓,弓,★★★,攻击力 40-448,元素精通 20-94,相传渡鸦是死的使者。将鸦羽装饰在弓臂上，射出的每一箭都宣告着猎物的终末。,踏火止水,祈愿,火、水、伤害加成,Weapon
w28,以理服人,双手剑,★★★,攻击力 39-401,攻击力% 7.7%-35.2%,精钢打造的趁手大铁棒子，最好的理论依据。,有话直说,祈愿,额外伤害,Weapon
w29,铁影阔剑,双手剑,★★★,攻击力 39-401,生命值 7.7%-35.2%,这把剑是著名的光之狮艾伦德林的佩剑的仿品。握紧它，感受传说中大英雄的力量吧！注意：幻想请适度。,不屈,祈愿,自身限制、重击,Weapon
w30,飞天大御剑,双手剑,★★★,攻击力 39-401,物理伤害加成 9.6%-43.9%,可靠的大剑。传说著名的「御剑公子」曾试图借助它二度飞天。,勇气,宝箱、（璃月区域宝箱）、孤云阁附近拔出,攻击力、层数叠加,Weapon
w31,白铁大剑,双手剑,★★★,攻击力 39-401,防御力 9.6%-43.9%,N/A,收割,宝箱、宝箱（蒙德）,生命回复、对象限制,Weapon
w32,沐浴龙血的剑,双手剑,★★★,攻击力 38-354,元素精通 41-187,据说是北方英雄浸过龙血的钢铁大剑，有刀枪不入的神力...这种护佑并不会延伸到挥舞它的人身上。,踏火息雷,祈愿,火、雷、伤害加成,Weapon
w33,旅行剑,单手剑,★★★,攻击力 40-448,防御力 6.4%-29.3%,趁手的钢剑，剑柄里藏着剪子、放大镜、火绒等方便旅行的小物件。,旅程,宝箱,生命回复,Weapon
w34,金流监督,法器,★★★★★,攻击力 48-674,暴击率 4.8%-22.1%,能够监控特定现象的悬浮仪器，废弃后被拾获者重新改造为其他用途。,黄金的血潮,限定祈愿,攻击力、普通攻击、重击、层数叠加、攻击速度,Weapon
w35,吃虎鱼刀,单手剑,★★★,攻击力 39-401,攻击力% 7.7%-35.2%,用来剖鱼的锋利铁刀，刀身狭长，非常锋利。,决,宝箱、与稻妻铁匠铺处的天目十五对话获得,额外伤害,Weapon
w36,黎明神剑,单手剑,★★★,攻击力 39-401,暴击伤害 10.2%-46.9%,一把曾经耀若朝阳的宝剑，掌握它的人会获得「自我感觉良好」的力量加持。剑身上的发光材料已经褪去。,激励,祈愿、任务（凯亚传说任务）,暴击率、自身限制,Weapon
w37,飞天御剑,单手剑,★★★,攻击力 38-354,元素充能效率 11.3%-52.1%,可靠的钢剑，传说著名的「御剑公子」曾试图借助它飞天。,决心,祈愿、对话、与绝云间到到庆云顶之间的亭子下的判官儿对话,攻击力、移动速度,Weapon
w38,暗铁剑,单手剑,★★★,攻击力 39-401,元素精通 31-141,其实就是稍微有些黑的铁剑。,过载,与璃月港快刀陈对话；沉玉谷·上谷中在王山厅·秘阁中的宝箱中获得（全图仅两把，建议收藏）,元素反应、攻击力、雷,Weapon
w39,流月针,长柄武器,★★★★,攻击力 44-565,物理伤害加成 7.5%-34.5%,枪尖狭长，尾部分出半月刀刃的异国兵器，经由商路流落到璃月。稍事练习掌握，便有极其出众的杀伤力。,注能之针,锻造,额外伤害、自身限制,Weapon
w40,冷刃,单手剑,★★★,攻击力 39-401,攻击力% 7.7%-35.2%,多层锻打的精钢铸就的可靠兵器，曾见证旧主诸多冒险奇谭。,止水融冰,祈愿,水、冰、伤害加成,Weapon
w41,西风长枪,长柄武器,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,西风骑士团的制式长枪。枪杆直挺，枪尖轻风流溢。,顺风而行,祈愿,能量回复、自身限制,Weapon
w42,宗室猎枪,长柄武器,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,N/A,专注,商城兑换,暴击率、层数叠加,Weapon
w43,匣里灭辰,长柄武器,★★★★,攻击力 41-454,元素精通 48-221,N/A,踏火止水,祈愿,伤害加成、水、火,Weapon
w44,黑岩刺枪,长柄武器,★★★★,攻击力 42-510,暴击伤害 12.0%-55.1%,以黑岩与陨铁铸成的兵器，玄锋清凛的光泽中仿佛隐隐可见血色。,乘胜追击,商城兑换,对象限制、层数叠加,Weapon
w45,决斗之枪,长柄武器,★★★★,攻击力 41-454,暴击率 8.0%-36.8%,N/A,角斗士,纪行,对象限制、攻击力、防御力,Weapon
w46,西风秘典,法器,★★★★,攻击力 42-510,元素充能效率 10.0%-45.9%,西风骑士团的学者间流传的秘典，记载着元素与物质的道理和力量。,顺风而行,祈愿,能量回复、自身限制,Weapon
w47,试作金珀,法器,★★★★,攻击力 42-510,生命值 9.0%-41.3%,黑岩厂中秘藏的金珀法器。其中黯黯绽放着日月星光。,炊金,锻造,能量回复、生命回复,Weapon
w48,昭心,法器,★★★★,攻击力 41-454,攻击力% 12.0%-55.1%,幽暗的琉璃宝珠，传说中拥有洞察人心清白的力量。,回响,祈愿,额外伤害,Weapon
w49,宗室秘法录,法器,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,属于曾支配蒙德的贵族麾下的宫廷魔导师，其中记载的史话与法术同样翔实。,专注,商城兑换,暴击率、层数叠加,Weapon
w50,黑岩绯玉,法器,★★★★,攻击力 42-510,暴击伤害 12.0%-55.1%,N/A,乘胜追击,商城兑换,对象限制、层数叠加,Weapon
w51,匣里日月,法器,★★★★,攻击力 42-510,暴击率 6.0%-27.6%,材质难解的暗金宝珠，饱含日月天地的光辉，脉动着温暖的力量。,日月辉,纪行,元素战技、元素爆发、普通攻击,Weapon
w52,祭礼残章,法器,★★★★,攻击力 41-454,元素精通 48-221,N/A,气定神闲,祈愿,元素战技,Weapon
w53,万国诸海图谱,法器,★★★★,攻击力 44-565,元素精通 24-110,详尽记载了大陆周边海流气候的海图，是从异国经由商路流落到璃月的奇异典籍。,注能之卷,锻造、「星之归还」第二期,元素伤害、层数叠加,Weapon
w54,西风猎弓,弓,★★★★,攻击力 41-454,元素充能效率 13.3%-61.3%,西风骑士团的制式反曲弓，只有杰出的弓手能与它的杰出性能相衬。,顺风而行,祈愿、任务巨龙与自由之歌,能量回复、自身限制,Weapon
w55,流浪乐章,法器,★★★★,攻击力 42-510,暴击伤害 12.0%-55.1%,记载着歌谱的厚重记事簿。尽管遭受了虫蛀和风化，残留的手迹仍透露出力量。,登场乐,祈愿,攻击力、元素伤害、元素精通,Weapon
w56,弓藏,弓,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,布满锈迹的铁造大弓，一般人根本拿不动，遑论引弓放矢。,速射弓斗,祈愿,普通攻击、负面效果、重击,Weapon
w57,苍翠猎弓,弓,★★★★,攻击力 42-510,暴击率 6.0%-27.6%,高洁的青绿猎弓，曾属于在林间狩猎的某人。,苍翠之风,纪行,额外伤害、控制,Weapon
w58,宗室长弓,弓,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,曾支配蒙德的旧日贵族的长弓。经过世代，弓弦仍十分有力，击发迅猛。,专注,商城兑换,暴击率、层数叠加,Weapon
w59,钢轮弓,弓,★★★★,攻击力 41-454,物理伤害加成 15.0%-69.0%,以金属制成，用滑轮引弦的复合弓，来自异国。护养极其困难，但引弓轻松，威力惊人。,注能之矢,锻造,攻击力、攻击速度、攻击速度（普通攻击、重击）、层数叠加,Weapon
w60,黑岩战弓,弓,★★★★,攻击力 44-565,暴击伤害 8.0%-36.8%,N/A,乘胜追击,商城兑换,对象限制、层数叠加,Weapon
w61,绝弦,弓,★★★★,攻击力 42-510,元素精通 36-165,曾经作为乐器大放异彩的弓。如今已经不再能令人起舞。,无矢之歌,祈愿,元素战技、元素爆发,Weapon
w62,试作古华,双手剑,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,黑岩厂中秘藏的古老大刀。挥舞时，仿佛连空间本身也要被一刀两断。,粉碎,锻造,额外伤害,Weapon
w63,试作澹月,弓,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,黑岩厂中秘藏的原型长弓。放矢之姿有如透过薄暮的月光。,离簇不归,锻造,攻击力、移动速度、对象限制,Weapon
w64,西风大剑,双手剑,★★★★,攻击力 41-454,元素充能效率 13.3%-61.3%,西风骑士团的重型仪式剑。能轻易导出元素力量，具有卓越的破坏力。,顺风而行,祈愿,能量回复、自身限制,Weapon
w65,宗室大剑,双手剑,★★★★,攻击力 44-565,攻击力% 6%-27.6%,曾支配蒙德的旧日贵族的大剑，用料极佳，历久犹弥新。是贵族的战斗兵器。,专注,商城兑换,暴击率、层数叠加,Weapon
w66,祭礼弓,弓,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,在漫长岁月中石化的道具猎弓，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。,气定神闲,祈愿,元素战技,Weapon
w67,白影剑,双手剑,★★★★,攻击力 42-510,防御力 11.3%-51.7%,剑身上有一面未开刃的异国大剑，经商路流落到璃月。在了解它的人手里，破坏力极可观。,注能之锋,锻造,防御力、攻击力、层数叠加,Weapon
w68,试作星镰,长柄武器,★★★★,攻击力 42-510,元素充能效率 10.0%-45.9%,黑岩厂中秘藏的古老钩枪。锋芒上的点点闪光有如夜空稀星。,嗜魔,锻造,层数叠加、普通攻击、重击,Weapon
w69,祭礼大剑,双手剑,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,在漫长岁月中石化的道具大剑，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。,气定神闲,祈愿,元素战技,Weapon
w70,黑岩斩刀,双手剑,★★★★,攻击力 42-510,暴击伤害 12.0%-55.1%,N/A,乘胜追击,商城兑换,对象限制、层数叠加,Weapon
w71,雨裁,双手剑,★★★★,攻击力 42-510,元素精通 36-165,N/A,止水息雷,祈愿,伤害加成、水、雷,Weapon
w72,钟剑,双手剑,★★★★,攻击力 42-510,生命值 9.0%-41.3%,装有时钟的厚重大剑，其中的计时机关早已被破坏。,叛逆的守护者,祈愿,护盾、护盾庇护、伤害加成,Weapon
w73,西风剑,单手剑,★★★★,攻击力 41-454,元素充能效率 13.3%-61.3%,西风骑士团的制式长剑。轻快锐利之余，也能轻易导出元素力量。,顺风而行,祈愿,能量回复、自身限制,Weapon
w74,螭骨剑,双手剑,★★★★,攻击力 42-510,暴击率 6.0%-27.6%,来自古代大海的稀有兵器，舞剑猎猎宛如太古的涛声。,破浪,纪行,层数叠加、伤害加成、负面效果,Weapon
w75,黑剑,单手剑,★★★★,攻击力 42-510,暴击率 6.0%-27.6%,渴求着纷争与砍杀的漆黑长剑，据说会让人沉醉在浴血厮杀的亢奋中。,「正义」,纪行,普通攻击、重击、生命回复、暴击率,Weapon
w76,降临之剑,单手剑,★★★★,攻击力 39-440,攻击力% 7.7%-35.2%,造型独特的剑。看起来并不属于这个世界。,降世,“PlayStation Network”的玩家特典奖励,额外伤害、自身限制、攻击力,Weapon
w77,试作斩岩,单手剑,★★★★,攻击力 44-565,物理伤害加成 7.5%-34.5%,黑岩厂中秘藏的古老长剑。可挥砍断岩而刃不卷。,碎石,锻造、冒险等阶10级奖励获取、完成「星之归还」活动获取,攻击力、防御力、层数叠加,Weapon
w78,宗室长剑,单手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,曾支配蒙德的旧日贵族的佩剑。做工精良，装饰与雕花彰显着挥舞者的身份。,专注,商城兑换,暴击率、层数叠加,Weapon
w79,黑岩长剑,单手剑,★★★★,攻击力 44-565,暴击伤害 8.0%-36.8%,黑岩锻造而成的长剑。玄色的剑身隐隐流露血光。,乘胜追击,商城兑换,对象限制、层数叠加,Weapon
w80,笛剑,单手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,N/A,和弦,祈愿,层数叠加、额外伤害,Weapon
w81,铁蜂刺,单手剑,★★★★,攻击力 42-510,元素精通 36-165,N/A,注能之刺,锻造,伤害加成、层数叠加,Weapon
w82,匣里龙吟,单手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,雕饰浮华的利刃，却丝毫不损它的柔韧与锋锐。破空之声有如龙吟。,踏火息雷,祈愿,火、雷、伤害加成,Weapon
w83,祭礼剑,单手剑,★★★★,攻击力 41-454,元素充能效率 13.3%-61.3%,在漫长岁月中石化的道具剑，上面的仪式性装饰依然清晰可见。拥有受时间之风冲刷的祝福力量。,气定神闲,祈愿,元素战技,Weapon
w84,忍冬之果,法器,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,具有某种冰冷意志的奇特果实，散发着微弱的苦涩气息。,霜葬,锻造,额外伤害、冰,Weapon
w85,龙脊长枪,长柄武器,★★★★,攻击力 41-454,物理伤害加成 15.0%-69.0%,利用龙之牙制成的长枪，有着奇异的温暖触感。,霜葬,锻造、任务,额外伤害、冰,Weapon
w86,雪葬的星银,双手剑,★★★★,攻击力 44-565,物理伤害加成 7.5%-34.5%,储存在壁画之间的古老大剑。由星银铸成，似乎拥有斩开冰雪的力量。,霜葬,锻造、任务后龙脊雪山密室内拔出,额外伤害、冰,Weapon
w87,暗巷的酒与诗,法器,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,N/A,变化万端,限定祈愿,体力减免、攻击力,Weapon
w88,千岩长枪,长柄武器,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,N/A,千岩诀·同心,限定祈愿,攻击力、暴击率,Weapon
w89,腐殖之剑,单手剑,★★★★,攻击力 42-510,元素充能效率 10.0%-45.9%,希冀着生命的诡谲直剑，附有连龙也能侵蚀的腐殖之毒。,无尽的渴慕,活动、1.2版本活动「白垩与黑龙」活动限定武器,元素战技、暴击率,Weapon
w90,千岩古剑,双手剑,★★★★,攻击力 42-510,攻击力% 9%-41.3%,以璃月的基岩为原料削凿成的厚重大剑。,千岩诀·同心,限定祈愿,攻击力、暴击率,Weapon
w91,风花之颂,弓,★★★★,攻击力 42-510,元素精通 36-165,N/A,风花之愿,活动、1.4版本活动「风花的邀约」活动限定武器,攻击力,Weapon
w92,暗巷猎手,弓,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,外形精巧奢华的长弓，曾属于某位从未被抓获的义贼。,街巷伏击,限定祈愿,伤害加成、自身限制,Weapon
w93,暗巷闪光,单手剑,★★★★,攻击力 45-620,元素精通 12-55,有着黑夜颜色的笔直长剑，曾属于穿行于暗巷的盗贼。,街巷游侠,限定祈愿,伤害加成,Weapon
w94,嘟嘟可故事集,法器,★★★★,攻击力 41-454,攻击力% 12.0%-55.1%,N/A,嘟嘟！大冒险,活动、1.6版本活动「盛夏！海岛？大冒险！」活动限定武器,重击、攻击力,Weapon
w95,幽夜华尔兹,弓,★★★★,攻击力 42-510,物理伤害加成 11.3%-51.7%,有着如同罪与幻想之夜一般颜色的弓。,极夜二重奏,限定祈愿,普通攻击、元素战技,Weapon
w96,喜多院十文字,长柄武器,★★★★,攻击力 44-565,元素精通 24-110,曾经在八酝岛守望「祟神」的枪法名士所用的特殊长枪。,名士振舞,锻造、完成远吕羽氏遗事可获得锻造图纸,元素战技、能量回复、后台,Weapon
