WeaponID,name,variety,rarity,baseProperty1,baseProperty2,intro,skillname,obtain,tag,LABEL
w97,桂木斩长正,双手剑,★★★★,攻击力 42-510,元素充能效率 10%-45.9%,过去在踏鞴砂打造的刀，沉重而坚韧。,名士振舞,锻造、踏鞴沙防护罩解除（踏鞴物语任务相关）后搜集三把钥匙,能量回复,Weapon
w98,白辰之环,法器,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,N/A,樱之斋宫,锻造、完成「影向祓行」可获得锻造图纸附有记忆的面具,元素伤害、元素反应、雷,Weapon
w99,破魔之弓,弓,★★★★,攻击力 41-454,攻击力% 12.0%-55.1%,曾经属于某个巫女浅濑响的战弓。以优越的技法打造，精巧而耐用。,浅濑之弭,N/A,普通攻击、重击、自身限制,Weapon
w100,天目影打刀,单手剑,★★★★,攻击力 41-454,攻击力% 12.0%-55.1%,传说中连以神速见长的天狗都能斩落的名士订制的刀。,岩藏之胤,锻造、完成农民的宝藏的任务获得锻造图纸,能量回复,Weapon
w101,「渔获」,长柄武器,★★★★,攻击力 42-510,元素充能效率 10%-45.9%,在久远的过去，曾经闻名稻妻的大盗爱用的枪。,船歌,NPC商店、稻妻钓鱼协会兑换,元素爆发、暴击率,Weapon
w102,衔珠海皇,双手剑,★★★★,攻击力 41-454,攻击力% 12%-55.1%,海中的大王。经过风干，是称手的兵器以及应急食品。,海洋的胜利,活动、2.1版本活动「韶光抚月」活动限定武器,元素爆发、额外伤害,Weapon
w103,断浪长鳍,长柄武器,★★★★,攻击力 45-620,攻击力% 3.0%-13.8%,以海渊之下的闪亮材质打造而成的薙刀，一度曾为天狗一族所有。,驭浪的海祇民,限定祈愿,元素爆发,Weapon
w104,辰砂之纺锤,单手剑,★★★★,攻击力 41-454,防御力 15.0%-69.0%,由不似这个世界的物质制成的剑，其中的力量就连侵蚀龙的腐殖之毒也能抵御住吧。,无垢之心,活动、2.3版本活动「皑尘与雪影」活动限定武器,元素战技、技能倍率,Weapon
w105,掠食者,弓,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,设计风格相当独特的弓。应该不属于这个世界。,强力攻击,2.1版本更新完后，旅行者通过PlayStation平台登录游戏，可在冒险等阶达到20级后，通过游戏内邮件免费获得该武器,自身限制、攻击力、层数叠加、普通攻击、重击,Weapon
w106,恶王丸,双手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,传说中「恶王」的爱刀，刀身庞大雄伟，但挥舞起来却出乎意料地轻便。,驭浪的海祇民,限定祈愿,元素爆发,Weapon
w107,曚云之月,弓,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,出自螺钿与珊瑚的精美战弓，月色的弓臂上流动着凄然的光彩。,驭浪的海祇民,限定祈愿,元素爆发,Weapon
w108,证誓之明瞳,法器,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,大日御舆收藏的白夜国之宝。蛇神到来后，渊下宫用以公证大誓与大愿的宝物。,微光的海渊民,活动、2.5版本活动「三界路飨祭」活动限定武器,元素充能效率,Weapon
w109,落霞,弓,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,以白金精制而成的宝弓，其上镶嵌着霞光闪烁的宝珠。,渊中霞彩,活动、2.7版本活动「危途疑踪」活动限定武器,伤害加成,Weapon
w110,笼钓瓶一心,单手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,N/A,澄澄一心传,任务、枫红之章·第一幕「陌野不识故人」,额外伤害、攻击力,Weapon
w111,贯月矢,长柄武器,★★★★,攻击力 44-565,元素精通 24-110,从兰那罗的故事中得到的武器。形制如同巨大的箭矢，能够作为枪矛使用。,幽林月影,锻造,攻击力、元素反应,Weapon
w112,竭泽,弓,★★★★,攻击力 42-510,元素充能效率 10%-45.9%,似乎是如今已经绝种的鱼。身躯富有弹性，系上绳索后能充当弓使用。,网破,NPC商店、须弥钓鱼协会兑换,额外伤害,Weapon
w113,王下近侍,弓,★★★★,攻击力 41-454,攻击力% 12.0%-55.1%,从兰那罗的故事中得到的武器。具有弓的形制，能够射落森林的敌人。,迷宫之王的教导,锻造,元素精通、额外伤害,Weapon
w114,盈满之实,法器,★★★★,攻击力 42-510,元素充能效率 10%-45.9%,从兰那罗的故事中得到的果实。其中蕴含着战胜任何危机的潜能。,圆满之相,锻造,元素反应、元素精通、层数叠加,Weapon
w115,原木刀,单手剑,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,从兰那罗的故事中得到的武器。具有刀的形制，能够贯穿森林的敌人。,森林的瑞佑,锻造、森林书第二章「梦中的苗圃」完成「兰那罗的世界」后获得兑换物「关于你与兰那罗的故事」，接着与梦之树附近的兰随尼兑换锻造图纸,元素精通、草、元素反应,Weapon
w116,风信之锋,长柄武器,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,导示长风的标鹄。风的牧歌并不总是轻柔如初…,不至之风,活动、3.1版本活动「杯中遥吟之歌」活动限定武器,攻击力、元素精通,Weapon
w117,玛海菈的水色,双手剑,★★★★,攻击力 42-510,元素精通 36-165,一柄光泽如水的古老大剑，经过千年流沙磨洗，锋刃依然锐利异常。,沙上楼阁,限定祈愿,攻击力、群体辅助,Weapon
w118,森林王器,双手剑,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,从兰那罗的故事中得到的武器。具有大剑的形制，能够粉碎森林的敌人。,森林的瑞佑,锻造,元素精通、元素反应,Weapon
w119,流浪的晚星,法器,★★★★,攻击力 42-510,元素精通 36-165,原本是学者用于观测与计算天象的古老仪器。具有传导力量，作为法器的能力。,林野晚星,限定祈愿,攻击力、群体辅助、层数叠加,Weapon
w120,鹮穿之喙,弓,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,以故事中的描述铸就的黄金之弓。若将它作为寻常武具使用，也可视为让纸上故事的一角在纸外的世界得到显现了吧。,秘智之眸的青睐,活动、3.7版本活动「决斗！召唤之巅！」活动限定武器,攻击力、元素精通、层数叠加、重击,Weapon
w121,东花坊时雨,单手剑,★★★★,攻击力 42-510,元素精通 36-165,稍微有些特别的油纸伞。尽管长久的旅行中已经习惯风雨，与之一同静赏的雨景或许也有其中妙趣。,怪谭·时雨心地一本足,活动、3.3版本活动「秋津森夜试胆会」活动限定武器,伤害加成,Weapon
w122,西福斯的月光,单手剑,★★★★,攻击力 42-510,元素精通 36-165,闪着月色光彩的古老双刃剑。据说其中寄寓着如今已经沉默的镇灵。,镇灵的低语,限定祈愿,元素充能效率、群体辅助,Weapon
w123,峡湾长歌,长柄武器,★★★★,攻击力 42-510,暴击率 6.0%-27.6%,在冰原捕鱼的人会使用的长枪，绝对不会放跑猎物。,冰原的诸多故事,纪行,元素精通、队伍限制,Weapon
w124,遗祀玉珑,法器,★★★★,攻击力 41-454,暴击率 8.0%-36.8%,一枚古老的玉珑，闪烁着清水般的光泽，似乎是古代的祭祀用品。,碧玉流转,纪行,自身限制、生命值、元素精通,Weapon
w125,公义的酬报,长柄武器,★★★★,攻击力 44-565,生命值 6.0%-27.6%,一柄锋利的长枪，仅在枪尖处留有点滴沾染鲜血的残痕。,枪尖一点,锻造,能量回复,Weapon
w126,饰铁之花,双手剑,★★★★,攻击力 44-565,元素精通 24-110,造型优雅利落的大剑，其上装饰节庆的鲜花与缎带。,风与花的密语,活动、3.5版本活动「风花的呼吸」活动限定武器,攻击力、元素精通,Weapon
w127,纯水流华,法器,★★★★,攻击力 44-565,攻击力% 6%-27.6%,造型奇特的剧本集，其中收录了科培琉司创作的所有剧本。,未完的杰作,锻造,元素伤害,Weapon
w128,烈阳之嗣,弓,★★★★,攻击力 44-565,暴击率 4.0%-18.4%,赤王国度的古老时代所留下的古代长弓，其上雕刻着不可理解的古老文字与庄严图案。,阳炎古道,纪行,额外伤害、伤害加成,Weapon
w129,浪影阔剑,双手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,造型优美的枫丹旧海军的制式剑，专为将官与旗舰舰长量身打造。,巡航的白浪,锻造,攻击力,Weapon
w130,静谧之曲,弓,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,N/A,深海弦振,锻造,伤害加成,Weapon
w131,海渊终曲,单手剑,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,如神秘海渊一般沉默的长剑，比它看似所属的年代还要更加古老。,最终的崇高,锻造,攻击力,Weapon
w132,聊聊棒,双手剑,★★★★,攻击力 44-565,暴击率 4.0%-18.4%,一柄沉重的镶有黑曜石的大棒，有很强的说服力。,「伶牙俐齿」,纪行,攻击力、元素伤害、自身限制,Weapon
w133,灰河渡手,单手剑,★★★★,攻击力 42-510,元素充能效率 10.0%-45.9%,在过去曾经被当作武器使用的趁手废弃铜管，曾经在一些人当中享有盛名或是臭名昭著。,铁骨,NPC商店、枫丹钓鱼协会兑换,元素战技、暴击率、元素充能效率,Weapon
w134,勘探钻机,长柄武器,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,如今几乎绝迹的长柄钻机，常用于勘探与石料切割雕刻作业,石匠号子,限定祈愿,攻击力、元素伤害、自身限制,Weapon
w135,N/A,法器,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,一本装帧精美的诗集，其中收录了不少有关天空、蒲公英等蒙德人偏爱的诗歌。,蔚蓝深空,活动、4.1版本活动「游水酝诗籍」活动限定武器,普通攻击、重击、层数叠加,Weapon
w136,狼牙,单手剑,★★★★,攻击力 42-510,暴击率 6.0%-27.6%,传说中，遥远过去的流浪骑士所使用的长剑。,苍狼北风,纪行,元素战技、元素爆发、伤害加成、暴击率、层数叠加,Weapon
w137,便携动力锯,双手剑,★★★★,攻击力 41-454,生命值 12%-55.1%,如今几乎绝迹的旧式动力锯，曾是深受工人信赖的切割工具。,船工号子,限定祈愿,能量回复、元素精通、自身限制,Weapon
w138,船坞长剑,单手剑,★★★★,攻击力 42-510,生命值 9.0%-41.3%,如今几乎绝迹的便利切割工具，能够随着使用将钝化的刀片换掉。,船工号子,限定祈愿,能量回复、元素精通、自身限制,Weapon
w139,测距规,弓,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,如今几乎绝迹的测量工具，具有发射箭矢的能力。,石匠号子,限定祈愿,攻击力、元素伤害、自身限制,Weapon
w140,「究极霸王超级魔剑」,双手剑,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,N/A,加油！,活动、4.3版本活动「蔷薇与铳枪」活动限定武器,攻击力,Weapon
w141,水仙十字之剑,单手剑,★★★★,攻击力 42-510,攻击力% 9.0%-41.3%,意志与力量随故事的结束而消褪的长剑，它将要再次踏上新的旅途。其中残余着一些力量，纪念着一场宏大的梦。,勇者之剑,任务、完成「水仙的追迹」任务后获取,额外伤害,Weapon
w142,沙中伟贤的对答,长柄武器,★★★★,攻击力 42-510,生命值 9.0%-41.3%,象征炼金术荣耀的双蛇杖，因其地位特殊使用了特殊合金。刚度很高，重量很重，拿来打人也一定很疼。,均衡的原理,活动、4.5版本活动「升炼研巧万策金」活动限定武器,能量回复,Weapon
w143,筑云,弓,★★★★,攻击力 42-510,元素精通 36-165,解析昔日拱卫天衡的仙家机关后，由玉衡星委托黑岩厂锻造的实验型制式兵器。,镌岩为坊,活动、4.7版本活动「安固诸方之述演」活动限定武器,元素精通、层数叠加,Weapon
w144,虹的行迹,长柄武器,★★★★,攻击力 42-510,防御力 11.3%-51.7%,以玉石锻成的锋锐长枪，在日耀中能隐隐映出虹色的光芒。,流水与泉的约定,锻造,防御力,Weapon
w145,苍纹角杯,法器,★★★★,攻击力 42-510,生命值 9.0%-41.3%,梅兹特利传承的礼器，据说是被称作「巨人」的英杰图帕克珍爱却从未使用过的宝物。,图帕克之握,活动、5.0版本活动「绮绘的踪绪」活动限定武器,额外伤害,Weapon
w146,木棉之环,法器,★★★★,攻击力 42-510,生命值 9.0%-41.3%,昔日的双生英杰锻造的玉器，传说曾将盘踞火山的巨龙从天穹击坠。,丰沃之陆的回声,锻造,伤害加成,Weapon
w147,碎链,弓,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,装饰着玉石的长弓，弦上似乎总是缠卷着轻柔的风。传说是在更古老的时代中由龙的工匠所锻。,花与落羽的长歌,锻造,攻击力、元素精通,Weapon
w148,镇山之钉,长柄武器,★★★★,攻击力 44-565,元素充能效率 6.7%-30.6%,矿山的工匠们合力锻造的长枪，在过去是献给群山之灵的贡物。,越峰之望,限定祈愿,元素战技,Weapon
w149,弥坚骨,单手剑,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,在千万次敲打和挥舞中变得越发坚硬的骨制长剑，据传曾是英杰万杰鲁趁手的武器。,陷阵者的自矜,限定祈愿,普通攻击,Weapon
w150,息燧之笛,单手剑,★★★★,攻击力 41-454,防御力 15.0%-69.0%,造型奇特的玉石长刀，在烟谜主的传承中被称作「祭司之笛」的礼器。,镜与烟色的隐谜,锻造,防御力,Weapon
w151,撼地者,双手剑,★★★★,攻击力 44-565,攻击力% 6.0%-27.6%,人称「窃火者」的英杰爱用的重剑，据说就连烬城之王的烈火也未能将其焚断。,苍翠之路的誓言,锻造,元素战技,Weapon
w152,天空之脊,长柄武器,★★★★★,攻击力 48-674,元素充能效率 8.0%-36.8%,象征风龙坚定决心的长枪。直挺的枪杆直指天穹，蕴含苍空与长风的力量。,斫断黑翼的利齿,祈愿,暴击率、攻击速度、额外伤害,Weapon
w153,和璞鸢,长柄武器,★★★★★,攻击力 48-674,暴击率 4.8%-22.1%,魔神翡玉化作的长枪，拥有刺杀远古海兽的沉重与锋利。,昭理的鸢之枪,祈愿,层数叠加、攻击力、伤害加成,Weapon
w154,天空之卷,法器,★★★★★,攻击力 48-674,攻击力% 7.2%-33.1%,象征风龙与其主风之神的云图集。细致记载了北地天空的风与云，蕴含苍空与长风的力量。,浮游四方的灵云,祈愿,攻击力、元素伤害、额外伤害,Weapon
w155,四风原典,法器,★★★★★,攻击力 46-608,暴击率 7.2%-33.1%,N/A,无边际的眷顾,祈愿,移动速度、元素伤害、层数叠加,Weapon
w156,天空之翼,弓,★★★★★,攻击力 48-674,暴击率 4.8%-22.1%,象征风龙身为风之神眷属的大弓。释弦时的鸣声是风之神的偏爱，蕴含苍空与长风的力量。,回响长天的诗歌,祈愿,暴击伤害、额外伤害,Weapon
w157,狼的末路,双手剑,★★★★★,攻击力 46-608,攻击力% 10.8%-49.6%,狼的骑士所使的大剑。原本只是城中铁匠赠予的厚重的铁片，却在他与狼的情谊中，获得神话般的力量。,如狼般狩猎者,祈愿,攻击力、对象限制、群体辅助,Weapon
w158,阿莫斯之弓,弓,★★★★★,攻击力 46-608,攻击力% 10.8%-49.6%,N/A,矢志不忘,祈愿,普通攻击、重击、层数叠加,Weapon
w159,天空之傲,双手剑,★★★★★,攻击力 48-674,元素充能效率 8.0%-36.8%,象征风龙的骄傲广布长空的双手剑。挥舞时的低吟是风龙的气势，蕴含苍空与长风的力量。,斩裂晴空的龙脊,祈愿,伤害加成、额外伤害,Weapon
w160,天空之刃,单手剑,★★★★★,攻击力 46-608,元素充能效率 12.0%-55.1%,象征风龙的荣誉的骑士剑，如今失而复得。剑脊上吹息着风之神的赐福，蕴含着苍空与长风的力量。,穿刺高天的利齿,祈愿,暴击率、移动速度、攻击速度、额外伤害,Weapon
w161,贯虹之槊,长柄武器,★★★★★,攻击力 46-608,攻击力% 10.8%-49.6%,或许能贯穿一切的锋利长枪。挥舞当中，仿佛能见到空气被枪划破的裂痕。,金璋皇极,限定祈愿,护盾强效、攻击力、层数叠加、护盾庇护,Weapon
w162,风鹰剑,单手剑,★★★★★,攻击力 48-674,物理伤害加成 9.0%-41.3%,西风骑士团的灵魂。历经千年仍在呼唤你卷起正义之风，祓除奸邪，一如上一位挥舞此剑的女杰。,西风之鹰的抗争,祈愿,攻击力、生命回复、额外伤害,Weapon
w163,尘世之锁,法器,★★★★★,攻击力 46-608,攻击力% 10.8%-49.6%,N/A,金璋皇极,限定祈愿,攻击力、护盾强效、层数叠加、护盾庇护,Weapon
w164,N/A,双手剑,★★★★★,攻击力 46-608,攻击力% 10.8%-49.6%,N/A,金璋皇极,限定祈愿,攻击力、护盾强效、层数叠加、护盾庇护,Weapon
w165,斫峰之刃,单手剑,★★★★★,攻击力 46-608,攻击力% 10.8%-49.6%,传说中象征着某一则特定契约的利刃，曾经斩落过山岳的尖端。,金璋皇极,限定祈愿,攻击力、护盾强效、层数叠加、护盾庇护,Weapon
w166,护摩之杖,长柄武器,★★★★★,攻击力 46-608,暴击伤害 14.4%-66.2%,在早已失落的古老祭仪中，使用的朱赤「柴火杖」。,无羁的朱赤之蝶,限定祈愿,攻击力、生命值、自身限制,Weapon
w167,终末嗟叹之诗,弓,★★★★★,攻击力 46-608,元素充能效率 12.0%-55.1%,如同诗人的乐器一般优美的弓，放出的箭矢如同叹息声一般穿透人心。,别离的思念之歌,限定祈愿,元素精通、攻击力、层数叠加、群体辅助,Weapon
w168,磐岩结绿,单手剑,★★★★★,攻击力 44-542,暴击率 9.6%-44.1%,由纯净的翠玉精琢细雕而成的仪礼宝剑，挥舞时剑风中似有叹息之声。,护国的无垢之心,限定祈愿,攻击力、生命值,Weapon
w169,松籁响起之时,双手剑,★★★★★,攻击力 49-741,物理伤害加成 4.5%-20.7%,"如同翻弄草木的息吹一般轻盈的大剑,如同吹倒树木的飓风一般摧枯拉朽的武器。",揭旗的叛逆之歌,限定祈愿,攻击力、攻击速度、攻击速度（普通攻击）、群体辅助,Weapon
w170,飞雷之弦振,弓,★★★★★,攻击力 46-608,暴击伤害 14.4%-66.2%,曾由将军御赐的长弓，闪烁着永不熄灭的雷光。,飞雷御执,限定祈愿,攻击力、普通攻击、层数叠加,Weapon
w171,苍古自由之誓,单手剑,★★★★★,攻击力 46-608,元素精通 43-198,如同悠古的歌声一般苍蓝的直剑，如同风之国土自由的誓言一般锐利的武器。,抗争的践行之歌,限定祈愿,伤害加成、普通攻击、重击、下落攻击、攻击力、层数叠加、群体辅助,Weapon
w172,雾切之回光,单手剑,★★★★★,攻击力 48-674,暴击伤害 9.6%-44.1%,闪烁着凄烈紫光的太刀。名之为「回光」是因为一度破碎的过去。,雾切御腰物,限定祈愿,元素伤害、层数叠加,Weapon
w173,薙草之稻光,长柄武器,★★★★★,攻击力 46-608,元素充能效率 12.0%-55.1%,用于「斩草」的薙刀。对向此物之军势，也会如苇草般倒下吧…,非时之梦·常世灶食,限定祈愿,元素充能效率、攻击力,Weapon
w174,不灭月华,法器,★★★★★,攻击力 46-608,生命值 10.8%-49.6%,出自深海的美玉之环，闪烁着清澈如月的光泽，一如遥远往昔。,白夜皓月,限定祈愿,技能倍率、普通攻击、能量回复、治疗加成,Weapon
w175,赤角石溃杵,双手剑,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,依据过去的主人的说法，这是何等鬼怪精妖都能打跑的大杵「赤角石见石溃金涂金啮御狮子」。,御伽大王御伽话,限定祈愿,防御力、技能倍率,Weapon
w176,息灾,长柄武器,★★★★★,攻击力 49-741,攻击力% 3.6%-16.5%,N/A,灭却之戒法,限定祈愿,元素伤害、攻击力、层数叠加、自身限制,Weapon
w177,波乱月白经津,单手剑,★★★★★,攻击力 46-608,暴击率 7.2%-33.1%,经津传奉命锻造的名作。因其如汹涌海涛般的气度，而得「波乱」之名。,白刃流转,限定祈愿,元素伤害、普通攻击、层数叠加,Weapon
w178,神乐之真意,法器,★★★★★,攻击力 46-608,暴击伤害 14.4%-66.2%,表演神乐之舞时所用的神铃，为宫司所赐福。神樱之香萦绕其上。,神樱神游神乐舞,限定祈愿,元素战技、层数叠加、元素伤害,Weapon
w179,静水流涌之辉,单手剑,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,萦绕着至纯之水的权杖，在遥远的昔日曾象征着海原之上至高的权威。,湖光的朝与暮,限定祈愿,生命值、元素战技、层数叠加,Weapon
w180,万世流涌大典,法器,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,N/A,万世的浪涛,限定祈愿,生命值、重击、层数叠加、能量回复,Weapon
w181,若水,弓,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,色泽流移难测的长弓，在光下显现着如水的润蓝。,洗濯诸类之形,限定祈愿,生命值、伤害加成、对象限制,Weapon
w182,裁断,双手剑,★★★★★,攻击力 48-674,暴击率 4.8%-22.1%,曾经抛弃家名的贵族少女使用过的武器，过去沾染了敌人与挚爱的血液。,诸多朝与暮的誓约,限定祈愿,攻击力、元素战技、层数叠加,Weapon
w183,有乐御簾切,单手剑,★★★★★,攻击力 44-542,暴击伤害 19.2%-88.2%,曾由著名的风雅之士有乐斋亲自监制的名剑，传说在过去数百年间不尝斩过活物。,锦之花与龛中剑,限定祈愿,防御力、元素战技,Weapon
w184,鹤鸣余音,法器,★★★★★,攻击力 49-741,攻击力% 3.6%-16.5%,由纯洁的翡玉琢刻而成的宝扇，萦绕着古老的仙力气息。,云笈降真要诀,限定祈愿,伤害加成、下落攻击、能量回复,Weapon
w185,赤月之形,长柄武器,★★★★★,攻击力 48-674,暴击率 4.8%-22.1%,色泽如赤月般刺眼的锋锐利器。据说在某个古老的王朝中曾被视为贯穿两界的礼器，但如今早已不再有人记得彼时的信仰与典礼。,烬日之影,限定祈愿,伤害加成、自身限制、负面效果,Weapon
w186,冬极白星,弓,★★★★★,攻击力 46-608,暴击率 7.2%-33.1%,N/A,极昼的先兆者,限定祈愿,元素战技、元素爆发、攻击力,Weapon
