MaterialID,name,rarity,type,source,intro,relatedFurnish,relatedFood,LABEL
m0,北风之尾,5星,天赋培养素材,周常BOSS掉落70级以上北风狼挑战奖励,N/A,N/A,N/A,Material
m1,东风的吐息,5星,天赋培养素材,周常BOSS掉落70级以上风魔龙挑战奖励,"从蒙德的东风之主唤起的狂风中，采来的些许力量。
它的身躯是优美而通透的，信风与龙卷都愿为它效力。只要乘风而行，风就是它的同伴、它的歌声与它的自由。
而它的敌人，就是—千种名字各异的风的敌人。",N/A,N/A,Material
m2,璀璨原钻,5星,角色培养素材,冒险等阶奖励,角色突破素材。「欢迎来到世界。」,N/A,N/A,Material
m3,龙王之冕,5星,天赋培养素材,周常BOSS掉落70级以上若陀龙王挑战奖励,千年刚玉凝成的结晶之角，乃是「龙王」的天生冠冕。注之以精魄，塑之以顽岩。它自山涧而生，在群岩的国土彰示天地的威权，而黄金般的长角则是它在过去与某位君王分庭抗礼的标志。曾一度裂折失色，如今却在你的手中闪烁着冰冷的黄金光泽。,N/A,N/A,Material
m4,智识之冕,5星,天赋培养素材,版本活动奖励供奉忍冬之树至11级获取供奉神樱大树至一定等级获取。,提升天赋所需要的珍贵素材。远古时期，承载与传授智识所用的仪式器具。尽管如此，智慧居于言语及典籍中，但「智识之冕」中残存的力量与智慧仍能给如今的人们带来伟大的突破吧。,N/A,N/A,Material
m5,自在松石,5星,角色培养素材,N/A,"「但风向是会转变的。」
「终有一天，会吹向更有光亮的方向。」
「从今往后，带着我的祝福，活得更加从容一些吧。」",N/A,N/A,Material
m6,哀叙冰玉,5星,角色培养素材,N/A,"「…抱歉让你们一起和我背负了整个世界的哀思。」
「你们既然能忍受我的苦寒，那心中一定都有炽烈的欲望吧？」
「那么，替我燃烧旧世界吧。」",N/A,N/A,Material
m7,雷光棱镜,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m8,晶凝之华,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m9,雷霆数珠,4星,角色培养素材,BOSS掉落30级以上雷音权现掉落,N/A,N/A,N/A,Material
m10,极寒之核,4星,角色培养素材,BOSS掉落30级以上急冻树掉落,"急冻树被击败后,裸露出的原核。其中蕴含着纯净的冰元素。在大地深处中奔涌的能量与思念终归会喷发。就连哀思般沉寂的寒霜，也会附着在地面上的生命形态当中;即使原本不该狩猎的生灵的藤蔓植物，也会变得庞大而凶悍吧。",N/A,N/A,Material
m11,未熟之玉,4星,角色培养素材,BOSS掉落30级以上古岩龙蜥掉落,"从古岩龙蜥处取来的结晶物质，蕴含着成为龙的可能性。
沉眠在山岳中的龙蜥体内，会析出这种黯淡的晶石。璃月有坊间传说认为，力量随着年月积聚，而这种晶石最终会取代原本的心脏，而龙蜥也会成为真正的龙，撼动山岳、撕裂大地。",N/A,N/A,Material
m12,坚牢黄玉,5星,角色培养素材,N/A,"「大陆所流通的一切银钱皆是我的血肉。」
「我在以这样的方式，为人类—切的汗水、智慧和未来做担保。」
「这是我对众生的信任，辜负了它就是玷污了我的血。」",N/A,N/A,Material
m13,璀璨原钻块,4星,角色培养素材,冒险等阶奖励,角色突破素材。「欢迎来到世界。」,N/A,N/A,Material
m14,恒常机关之心,4星,角色培养素材,BOSS掉落30级以上恒常机关阵列掉落,驱使恒常机关阵列自律行动的核心。有人推测这种核心上的纹样当中以肉眼不可见的语言写上了智能与逻辑，也有人进一步认为这种特殊的遗迹机关因为格外庞大的核心与复杂的纹样，自发选择抛弃了生物的姿态，转而追求性能的强大。,N/A,N/A,Material
m15,常燃火种,4星,角色培养素材,BOSS掉落30级以上炎爆树掉落,N/A,N/A,N/A,Material
m16,涤净青金,5星,角色培养素材,BOSS掉落合成获得75级以上纯水精灵掉落,"「我的理想之内并没有一丝污浊。」
「我要纠正你，在这里，人并不对神背负罪孽，能下达判决的只有法律与裁判庭。」
「他们甚至连我也可以裁判。赞美我的崇高与纯洁吧。」",N/A,N/A,Material
m17,魔偶机心,4星,角色培养素材,BOSS掉落30级以上魔偶剑鬼掉落,N/A,N/A,N/A,Material
m18,玄岩之塔,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m19,最胜紫晶,5星,角色培养素材,N/A,"「此身即是尘世最为殊胜尊贵之身。」
「应持天下之大权。」
「此身曾许诺予臣民—梦，既是千世万代不变不移的[永恒]。」",N/A,N/A,Material
m20,燃愿玛瑙,5星,角色培养素材,N/A,角色突破素材。「为了愿望而步上巡礼，为了最强之名而云聚争斗…「最后为了梦在劫火中燃尽。「灰烬中如果留下了最初的心，那他就达成了██的真实。」,N/A,N/A,Material
m21,净水之心,4星,角色培养素材,BOSS掉落30级以上纯水精灵掉落,"纯水精灵留下的永远透彻的一掬水。即使溶在了湖泊中,它的纯净也不会被稀释吧。但高洁如此的纯水精灵，又是为何渴望着地上生灵的模样，以净水模拟成生物的姿态呢，即使不需要呼吸、也不需要进食…",N/A,N/A,Material
m22,飓风之种,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m23,阴燃之珠,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m24,最胜紫晶块,4星,角色培养素材,N/A,"「此身即是尘世最为殊胜尊贵之身。
「应持天下之大权。」",N/A,N/A,Material
m25,燃愿玛瑙块,4星,角色培养素材,BOSS掉落合成获得60级以上爆炎树掉落60级以上北风狼挑战奖励,角色突破素材。「为了愿望而步上巡礼，为了最强之名而云聚争斗…「最后为了梦在劫火中燃尽。」,N/A,N/A,Material
m26,「风雅」的哲学,4星,天赋培养素材,合成获得活动获得堇色之庭精通秘境:初雷幽谷 Ⅳ（堇色之庭限时开启）时间：周二/周五/周日,N/A,N/A,N/A,Material
m27,石化的骨片,4星,角色培养素材,普通怪物掉落合成获得60级以上幼岩龙蜥掉落(幼岩龙蜥位置：视频),击败幼龙蜥后有时能找到的石化骨片。幼龙蜥都梦想着成长为真正的龙。会把古老的化石认作是龙之骨而加以珍惜，或许是因为希冀着龙的永恒与强大吧。,N/A,N/A,Material
m28,「勤劳」的哲学,4星,天赋培养素材,合成获得活动获得太山府精通秘境:深炎之底Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周二/周五/周日,"岩之国土的根基是勤劳。
勤劳即为相信自己，即为相信通过汗水、智慧与力量，在诸神的土地上，人人都可以拥有自己的一席之地。",N/A,N/A,Material
m29,自在松石块,4星,角色培养素材,N/A,"「但风向是会转变的。
「终有一天，会吹向更有光亮的方向。」",N/A,N/A,Material
m30,雾虚灯芯,4星,角色培养素材,普通怪物掉落合成获得60级以上萤术士掉落（雷萤术士位置视频）,将本就罕见的雾虚草集结成的束，会散发出幽晦的冥光;提着这种灯的人，则会召来飞萤与不幸。,N/A,N/A,Material
m31,哀叙冰玉块,4星,角色培养素材,N/A,"「…抱歉…」
「让你们一起和我背负了整个世界的衰思。」",N/A,N/A,Material
m32,「诗文」的哲学,4星,天赋培养素材,合成获得活动获得忘却之峡精通秘境:沉睡之国Ⅳ（忘却之峡限时开启）时间：周三/周六/周日,"风之国土的灵魂是诗文。
诗文是传颂的心意。即使一切都将逝去，即使一切都将不再，随风而行的诗歌，仍会将此世间一切美好传遍天空、大地与海洋的一切角落。",N/A,N/A,Material
m33,混沌真眼,4星,角色培养素材,精英怪物掉落遗迹机兵掉落（帮助：位置视频）,来自不再活动的古代遗迹机关。这类机关的「遗迹」之名源自它们热衷的活动区域。但遗迹机关本身与它们所寄居的残垣断壁之间却没有多少共同之处。在遥远的过去，遗迹曾经属于伟大的、几乎可以触碰天空穹顶的文明，而「遗迹」则在大地的深处蓄势待发，等待着踏平一切国度的指令下达。,N/A,N/A,Material
m34,地脉的新芽,4星,角色培养素材,普通怪物掉落合成获得60级以上深渊法师掉落（深渊法师位置）,据说有一株巨木曾经贯彻了世界的各处;据说这枝是它的一部分。仿佛从未被人折下带到遥远的地表，仍然充满了勃发的生机，长出了新叶。,N/A,N/A,Material
m35,「自由」的哲学,4星,天赋培养素材,合成获得活动获得忘却之峡精通秘境:霜凝祭坛Ⅳ(忘却之峡限时开启)时间：周一/周四/周日,"风之国土的精神是自由。
自由其三，是歌唱的自由，即是能在风之神塑造的美好土地上歌唱，让自己的心与歌一同随风而去的自由。",N/A,N/A,Material
m36,坚牢黄玉块,4星,角色培养素材,N/A,"「大陆所流通的一切银钱皆是我的血肉。
「我在以这样的方式，为人类—切的汗水、智慧和未来做担保。」",N/A,N/A,Material
m37,璀璨原钻断片,3星,角色培养素材,冒险等阶奖励,角色突破素材。「欢迎来到世界。」,N/A,N/A,Material
m38,涤净青金块,4星,角色培养素材,BOSS掉落合成获得60级以上纯水精灵掉落,"「我的理想之内并没有一丝污浊。
「我要纠正你，在这里，人并不对神背负罪孽.....」",N/A,N/A,Material
m39,「繁荣」的哲学,4星,天赋培养素材,合成获得活动获得太山府精通秘境:炽炎祭场Ⅳ（太山府限时开启）时间：周一/周四/周日,N/A,N/A,N/A,Material
m40,督察长祭刀,4星,角色培养素材,普通怪物掉落合成获得60级以上债务处理人掉落(债务处理人位置视频),N/A,N/A,N/A,Material
m41,「黄金」的哲学,4星,天赋培养素材,合成获得活动获得太山府精通秘境:焚尽之环 Ⅳ（太山府限时开启）时间：周三/周六/周日,"岩之国土的象征是黄金。
黄金是璃月的财富。但璃月真正的财富，是璃月的人们那如黄金般闪耀的心灵。",N/A,N/A,Material
m42,混沌炉心,4星,角色培养素材,普通怪物掉落合成获得60级以上遗迹守卫掉落60级以上遗迹猎者掉落60级以上遗迹重机掉落,来自不再活动的古代遗迹构装体。曾经是驱动它活动的能源之心。若能理解、重构这样的神秘技术，或许能改变这个世界也说不定。,N/A,N/A,Material
m43,「抗争」的哲学,4星,天赋培养素材,合成获得活动获得忘却之峡精通秘境:冰封废渊Ⅳ（忘却之峡限时开启）时间：周二/周五/周日,"风之国士的脊梁是抗争。
蒙德的历史即是抗争的历史。抗争是为了蒙德未来的诗文，也能自由地随着眷顾的风，传到远方。",N/A,N/A,Material
m44,黑晶号角,4星,角色培养素材,普通怪物掉落合成获得60级以上大体格丘丘人掉落(帮助视频：点击跳转),隐隐反射着不祥光芒的金属号角，饰有材质不明的黑晶。几乎没有使用过，推测是丘丘人重要的仪式器具。,N/A,N/A,Material
m45,「繁荣」的指引,3星,天赋培养素材,合成获得活动获得太山府精通秘境:炽炎祭场Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周一/周四/周日,"岩之国土的追求是繁荣。
繁荣是璃月对它的子女的许诺:以繁荣回报勤劳者，以黄金照亮这片土地。",N/A,N/A,Material
m46,「繁荣」的教导,2星,天赋培养素材,活动获得太山府精通秘境:炽炎祭场Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周一/周四/周日,"岩之国土的追求是繁荣。
繁荣是璃月的恩惠，是璃月的神与人共同建立的伟大城市，是璃月的大地安全和平的源泉。",N/A,N/A,Material
m47,隐兽利爪,3星,角色培养素材,40级以上兽境幼兽掉落40级以上兽境猎犬掉落,兽境群狼的身体组织。虽然奇妙，但是和大杰作「腐殖层」杜林相比，「淋溶层」猎犬不值一提。,N/A,N/A,Material
m48,隐兽指爪,2星,角色培养素材,兽境幼兽掉落兽境猎犬掉落,兽境群狼的残留身体组织。按照常理来说，这种与此世不容的事物不应在这种异常造物被驱逐后，残留于世才对。,N/A,N/A,Material
m49,水晶棱镜,3星,角色培养素材,精英怪物掉落愚人众·冬国仕女掉落（帮助：位置视频）,能够偏转光线的棱镜。利用这种棱镜，可以制造虚幻的影像。从某种意义而言，也因此有着操纵人心的力量。,N/A,N/A,Material
m50,黯淡棱镜,2星,角色培养素材,精英怪物掉落愚人众·冬国仕女掉落（帮助：位置视频）,原本是能偏转光线的棱镜，在流水般的年岁中渐渐变得黯淡。,N/A,N/A,Material
m51,混沌回路,3星,角色培养素材,普通怪物掉落合成获得40级以上遗迹守卫掉落40级以上遗迹猎者掉落40级以上遗迹重机掉落,N/A,N/A,N/A,Material
m52,混沌装置,2星,角色培养素材,普通怪物掉落遗迹守卫掉落遗迹猎者掉落遗迹重机掉落,来自不再活动的古代遗迹构装体。曾经是维系它身躯的某个部位，有着精妙的工学美感。,N/A,N/A,Material
m53,「黄金」的指引,3星,天赋培养素材,合成获得活动获得太山府精通秘境:焚尽之环Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周三/周六/周日,"岩之国土的象征是黄金。
黄金意味着转换，这是璃月的岩山、大地、港城与人们的默契。在璃月，勤劳被转换为黄金，而黄金被转换为繁荣。",N/A,N/A,Material
m54,「黄金」的教导,2星,天赋培养素材,活动获得太山府精通秘境:焚尽之环Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周三/周六/周日,"岩之国土的象征是黄金。
黄金是流淌在璃月土地深处的血液，是鼓动璃月的心脏有力搏动的肌肉，是让璃月傲然挺立的筋骨。",N/A,N/A,Material
m55,不祥的面具,3星,角色培养素材,普通怪物掉落合成获得60级以上丘丘人掉落60级以上射手类丘丘人少量掉落60级以上丘丘萨满人少量掉落60级以上大体格丘丘人少量掉落,N/A,N/A,N/A,Material
m56,「抗争」的指引,3星,天赋培养素材,合成获得活动获得忘却之峡精通秘境:冰封废渊Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周二/周五/周日,"风之国土的脊梁是抗争。
蒙德的历史即是抗争的历史。抗争是为了蒙德现在的人们能够拥有自由，正如风之神吹散冰雪，正如温妮莎奋起抗争。",N/A,N/A,Material
m57,塞西莉亚花,2星,蒙德区域特产,野外采集推荐：摘星崖采集（采集帮助：采集视频）,名字与外形同等美丽的花朵，只生长在清冷而风急的高处，如同浪子一样真心难以触碰。,N/A,N/A,Material
m58,「抗争」的教导,2星,天赋培养素材,活动获得忘却之峡精通秘境:冰封废渊Ⅰ/Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周二/周五/周日,"风之国土的脊梁是抗争。
蒙德的历史即是抗争的历史。抗争是为了蒙德过去的一切抗争不被遗忘，如同草木突破土壤，如同恒风洞穿石墙。",N/A,N/A,Material
m59,「天光」的指引,3星,天赋培养素材,合成获得活动获得堇色之庭精通秘境:真葛废都II/III/IV（堇色之庭限时开启）时间：周三/周六/周日,"雷之国土的愿望是天光。
即使晖光被重重雷云所掩盖，鸣神的国土之上，依旧有志士如云雀般突破雷光与天之怒海，追寻天光之迹，哪怕迎来冷酷的殛灭。",N/A,N/A,Material
m60,「天光」的教导,2星,天赋培养素材,活动获得堇色之庭精通秘境:真葛废都I/II/III/IV（堇色之庭限时开启）时间：周三/周六/周日,N/A,N/A,N/A,Material
m61,黑铜号角,3星,角色培养素材,普通怪物掉落合成获得40级以上大体格丘丘人掉落(帮助视频：点击跳转),金属制的魔物号角。通常只能从格外强壮的丘丘人身上获得，因为鸣响号角是需要气力的事情。,N/A,N/A,Material
m62,沉重号角,2星,角色培养素材,普通怪物掉落大体格丘丘人掉落(帮助视频：点击跳转),粗砺的号角，是丘丘人用来警告同伴的道具。现在散布在号角上的战损使其失去了发声的功能。,N/A,N/A,Material
m63,最胜紫晶断片,3星,角色培养素材,N/A,「此身即是尘世最为殊胜尊贵之身。」,N/A,N/A,Material
m64,最胜紫晶碎屑,2星,角色培养素材,N/A,角色突破素材,N/A,N/A,Material
m65,燃愿玛瑙断片,3星,角色培养素材,BOSS掉落合成获得40级以上炎爆树掉落40级以上北风狼挑战奖励,角色突破素材。「为了愿望而步上巡礼为了最强之名而云聚争斗…」,N/A,N/A,Material
m66,燃愿玛瑙碎屑,2星,角色培养素材,BOSS掉落纪念品商店兑换炎爆树掉落北风狼挑战奖励,角色突破素材,N/A,N/A,Material
m67,攫金鸦印,3星,角色培养素材,普通怪物掉落合成获得60级以上盗宝团成员掉落（盗宝团位置视频）,"象征着盗宝团唯—-的原则与傲骨的微印。
只要广袤的大地上、幽邃的深渊里、未知的海洋中仍有待发掘的秘宝，那么手段不论地征服宝藏的盗宝之魂，就永远不会熄灭。",N/A,N/A,Material
m68,「风雅」的指引,3星,天赋培养素材,合成获得活动获得堇色之庭精通秘境:初雷幽谷Ⅱ/Ⅲ/Ⅳ（堇色之庭限时开启）时间：周二/周五/周日,"雷之国土的姿容是风雅。
风雅是不倨傲。风雅之人永远是谦虚的。只有消除虚荣与怠慢，才能明亮双眼，从哪怕最不堪入目的表象之下寻求美与雅致的真境。",N/A,N/A,Material
m69,「风雅」的教导,2星,天赋培养素材,活动获得堇色之庭精通秘境:初雷幽谷Ⅰ/Ⅱ/Ⅲ/Ⅳ（堇色之庭限时开启）时间：周二/周五/周日,"雷之国土的姿容是风雅。
风雅是不谄媚。风雅之人永远是高贵的。正似只愿高飞与雷暴争鸣的海鹰;迎合鄙俗则恰如将花冠倒插泥淖，仅让尊严染上了污渍。",N/A,N/A,Material
m70,原素花蜜,3星,角色培养素材,普通怪物掉落合成获得60级以上骗骗花掉落(采集帮助：骗骗花位置视频),"饱含能量的黏稠蜜汁。
骗骗花欺瞒猎物是为了狩猎,而狩猎进食或许是为了进化成某种更强大、更纯粹的姿态吧…",N/A,N/A,Material
